波长(nm),大气消光系数(cm⁻¹)
3336.0,3.010266196187473e-06
3337.0,3.010093528269478e-06
3338.0,3.0099207017972505e-06
3339.0,3.075634717837749e-06
3340.0,3.0754618062815895e-06
3341.0,3.075288420189503e-06
3342.0,3.0751156783332625e-06
3343.0,3.0749433666647468e-06
3344.0,3.0773185642035574e-06
3345.0,3.098389350919252e-06
3346.0,3.0982143279548863e-06
3347.0,3.098040156819184e-06
3348.0,3.0978662456356638e-06
3349.0,3.0976920688255526e-06
3350.0,3.097517752260724e-06
3351.0,3.0731031194741807e-06
3352.0,3.0729290808330394e-06
3353.0,3.072755329753103e-06
3354.0,3.0725816667186213e-06
3355.0,3.0750773205435706e-06
3356.0,3.1308798297087023e-06
3357.0,3.130700004718938e-06
3358.0,3.130520769882332e-06
3359.0,3.1303416945886563e-06
3360.0,3.1301623543868325e-06
3361.0,3.1299834451427052e-06
3362.0,3.2000216583076558e-06
3363.0,3.1998369446148396e-06
3364.0,3.1996524279196317e-06
3365.0,3.199467895401363e-06
3366.0,3.2015440552325605e-06
3367.0,3.20135898661361e-06
3368.0,3.2875961214387286e-06
3369.0,3.287403606669571e-06
3370.0,3.2872111650842258e-06
3371.0,3.2870188063818093e-06
3372.0,3.2868265299820716e-06
3373.0,3.391373752379622e-06
3374.0,3.3911738113469826e-06
3375.0,3.390973373032214e-06
3376.0,3.390772878569925e-06
3377.0,3.390572857299225e-06
3378.0,3.3921992974333846e-06
3379.0,3.482053891557594e-06
3380.0,3.4818451895452815e-06
3381.0,3.4816370986596417e-06
3382.0,3.481429014382008e-06
3383.0,3.4812208824386927e-06
3384.0,3.4810122908632893e-06
3385.0,3.5565187471772028e-06
3386.0,3.5563054387323982e-06
3387.0,3.5560916581575292e-06
3388.0,3.5558787315999684e-06
3389.0,3.5574826050884333e-06
3390.0,3.598589451214895e-06
3391.0,3.5983727508045485e-06
3392.0,3.598156245315564e-06
3393.0,3.5979400373832826e-06
3394.0,3.5977240325543308e-06
3395.0,3.597507831098645e-06
3396.0,3.6384272051124916e-06
3397.0,3.6382102901469653e-06
3398.0,3.6379923697038275e-06
3399.0,3.6377756071401567e-06
3400.0,3.637558254874048e-06
3401.0,3.6390270520256474e-06
3402.0,3.6665593575740927e-06
3403.0,3.6663409590378035e-06
3404.0,3.6661224870397045e-06
3405.0,3.665904147496955e-06
3406.0,3.6656855122237754e-06
3407.0,3.665467718858093e-06
3408.0,3.7475265784832376e-06
3409.0,3.747303457232615e-06
3410.0,3.747080982548572e-06
3411.0,3.74685887279105e-06
3412.0,3.747917390950498e-06
3413.0,3.858288605972351e-06
3414.0,3.858059353427862e-06
3415.0,3.857829342406868e-06
3416.0,3.857599695306611e-06
3417.0,3.857370239336934e-06
3418.0,3.857140787037017e-06
3419.0,3.932137153418567e-06
3420.0,3.931903399243043e-06
3421.0,3.9316700645441685e-06
3422.0,3.9314360399349695e-06
3423.0,3.93120291581866e-06
3424.0,3.931895584931276e-06
3425.0,4.015081461653983e-06
3426.0,4.0148436108180726e-06
3427.0,4.014605969648904e-06
3428.0,4.0143684308989985e-06
3429.0,4.014131111142644e-06
3430.0,4.0138929437042775e-06
3431.0,4.045958085621175e-06
3432.0,4.045721282881002e-06
3433.0,4.045483648215797e-06
3434.0,4.0452475435297285e-06
3435.0,4.045010050941397e-06
3436.0,4.04540039111705e-06
3437.0,4.08099708514894e-06
3438.0,4.080760085566601e-06
3439.0,4.080524324550466e-06
3440.0,4.08028841108711e-06
3441.0,4.0800522773147385e-06
3442.0,4.079817034862698e-06
3443.0,4.138396811914774e-06
3444.0,4.138160154944223e-06
3445.0,4.137924248462183e-06
3446.0,4.137687525293248e-06
3447.0,4.137451709026891e-06
3448.0,4.137938918921295e-06
3449.0,4.192920091633407e-06
3450.0,4.1926836866552655e-06
3451.0,4.192446833730542e-06
3452.0,4.192210314613662e-06
3453.0,4.191973876006538e-06
3454.0,4.19173693444998e-06
3455.0,4.260195397945623e-06
3456.0,4.259957384680288e-06
3457.0,4.259719521649849e-06
3458.0,4.259481447300351e-06
3459.0,4.259244166116239e-06
3460.0,4.259422177703049e-06
3461.0,4.282501369902911e-06
3462.0,4.2822616799799545e-06
3463.0,4.2820222719301504e-06
3464.0,4.281783792239623e-06
3465.0,4.281544303548917e-06
3466.0,4.281305428966462e-06
3467.0,4.283845869193391e-06
3468.0,4.283607683380147e-06
3469.0,4.283369453638186e-06
3470.0,4.283131191378887e-06
3471.0,4.282892893516038e-06
3472.0,4.282875303877904e-06
3473.0,4.283830005248677e-06
3474.0,4.283592176431986e-06
3475.0,4.283354013769261e-06
3476.0,4.283116461052867e-06
3477.0,4.282878587131259e-06
3478.0,4.282641020133356e-06
3479.0,4.317861383409561e-06
3480.0,4.317624214204688e-06
3481.0,4.317387037900508e-06
3482.0,4.317150133793452e-06
3483.0,4.316913281986145e-06
3484.0,4.316793962272324e-06
3485.0,4.386010197304813e-06
3486.0,4.385774801559576e-06
3487.0,4.385538682446998e-06
3488.0,4.385302891977141e-06
3489.0,4.385067271421167e-06
3490.0,4.38483155081043e-06
3491.0,4.511317912895412e-06
3492.0,4.51108378056141e-06
3493.0,4.5108495015929035e-06
3494.0,4.510614788885018e-06
3495.0,4.510380724349855e-06
3496.0,4.510239924907648e-06
3497.0,4.6230298227605894e-06
3498.0,4.622799457207005e-06
3499.0,4.622569099856783e-06
3500.0,4.622338706705495e-06
3501.0,4.622108885363155e-06
3502.0,4.621665882150839e-06
3503.0,4.693748467925086e-06
3504.0,4.693523248420994e-06
3505.0,4.693298135682195e-06
3506.0,4.69307313013952e-06
3507.0,4.692848054451377e-06
3508.0,4.6925957804709445e-06
3509.0,4.690126804456371e-06
3510.0,4.6899067349164726e-06
3511.0,4.68968576440796e-06
3512.0,4.6894652060419476e-06
3513.0,4.689244321043727e-06
3514.0,4.689024409377613e-06
3515.0,4.579029910413641e-06
3516.0,4.5788114801235425e-06
3517.0,4.578592595299166e-06
3518.0,4.5783745752987975e-06
3519.0,4.578155839769349e-06
3520.0,4.577846859983619e-06
3521.0,4.5776288618845925e-06
3522.0,4.426341425783012e-06
3523.0,4.426123507947768e-06
3524.0,4.42590523515642e-06
3525.0,4.425687626175854e-06
3526.0,4.425469844983954e-06
3527.0,4.42525187828734e-06
3528.0,4.25602059205432e-06
3529.0,4.255803968600324e-06
3530.0,4.255587876252921e-06
3531.0,4.25537204483777e-06
3532.0,4.25515597309504e-06
3533.0,4.2548566868702725e-06
3534.0,4.1452150291428825e-06
3535.0,4.145001802386306e-06
3536.0,4.144788045981801e-06
3537.0,4.144574492720469e-06
3538.0,4.144361145626478e-06
3539.0,4.1441484710649e-06
3540.0,4.1313198418012364e-06
3541.0,4.131107745487233e-06
3542.0,4.130895204060706e-06
3543.0,4.130683689509527e-06
3544.0,4.13047179156663e-06
3545.0,4.130166037382229e-06
3546.0,4.129954147607629e-06
3547.0,4.147625677863536e-06
3548.0,4.147415915327914e-06
3549.0,4.147206587495392e-06
3550.0,4.146997695010839e-06
3551.0,4.1467885456100705e-06
3552.0,4.14657939119435e-06
3553.0,4.187939928932147e-06
3554.0,4.1877311772635616e-06
3555.0,4.187522335435678e-06
3556.0,4.1873135904923575e-06
3557.0,4.187104524237451e-06
3558.0,4.1868108613065825e-06
3559.0,4.1927673990877805e-06
3560.0,4.192557093490484e-06
3561.0,4.192347584753627e-06
3562.0,4.192137948292941e-06
3563.0,4.191928747995822e-06
3564.0,4.19171934394221e-06
3565.0,4.1915097318589976e-06
3566.0,4.1283188480298584e-06
3567.0,4.1281102068795856e-06
3568.0,4.127902401970926e-06
